Run,Source,Exact Match,In List,Not in List
1,bottom,42.0,21.0,396.0
1,middle,108.0,19.0,373.0
1,top,168.0,8.0,324.0
2,bottom,41.0,25.0,393.0
2,middle,114.0,16.0,370.0
2,top,163.0,5.0,332.0
3,bottom,36.0,20.0,403.0
3,middle,107.0,16.0,377.0
3,top,167.0,5.0,328.0
4,bottom,33.0,21.0,405.0
4,middle,109.0,16.0,375.0
4,top,165.0,6.0,329.0
5,bottom,38.0,22.0,399.0
5,middle,110.0,18.0,372.0
5,top,169.0,4.0,327.0
Average,bottom,38.0,21.8,399.2
Average,middle,109.6,17.0,373.4
Average,top,166.4,5.6,328.0
