Lib_Name,popularity,Mean_cosine,Std_Cosine_Similarity,Median_Cosine_Similarity,Temp
1rm.js,bottom,0.51383652,0.03673907517040883,0.51356983,0.4
2048term,bottom,0.664470432,0.02106933086094858,0.6530421,0.4
2fa,bottom,0.622113772,0.038922469585137065,0.6026005,0.4
301-node,bottom,0.392819274,0.06094504386221766,0.36080295,0.4
531.js,bottom,-0.0196957467,0.01430873949183001,-0.021561038,0.4
BaseCRM,bottom,0.5963002279999999,0.01866051957407054,0.5958734,0.4
Commando,middle,0.357651276,0.01710983894924292,0.36167789,0.4
CrawlerX,bottom,0.39279310599999995,0.022362628065505402,0.38596827,0.4
Cruiser,bottom,0.215952324,0.02216454886857006,0.22077344,0.4
Dexie.js,middle,0.47991876,0.02342192190658892,0.48789406,0.4
ESB-node-driver,bottom,0.8548091879999999,0.012340435883943526,0.8509207,0.4
F.js,bottom,0.5857400819999999,0.009438901455769123,0.58442867,0.4
FileBufferReader,bottom,0.83492025,0.003948119411188024,0.83697975,0.4
Fritbot,bottom,0.723030018,0.029572414020571945,0.73158395,0.4
IVS.js,bottom,0.356060006,0.015234073033118219,0.34838843,0.4
ImageServer,bottom,0.62719345,0.03911165579138084,0.6090499,0.4
Imager.jsx,bottom,0.554553788,0.02485742878560794,0.56260264,0.4
Leaflet.MapboxVectorTile,bottom,0.7945757299999999,0.02326900229988385,0.8061633,0.4
Leaflet.timeline,bottom,0.50803463,0.05632872668884587,0.49037352,0.4
MetaScript,middle,0.6789332,0.03266590264052103,0.6629739,0.4
Node.CLI-Progress,middle,0.551365534,0.010013028204191254,0.55317885,0.4
Object.values,top,0.427936948,0.036840923828866196,0.43825012,0.4
OwlCarousel2,middle,0.685409566,0.017540162747200553,0.68179,0.4
RegExp.prototype.flags,top,0.7052805639999999,0.006803019055112932,0.70646465,0.4
StackBlur,middle,0.45451834,0.02781318112629244,0.4721428,0.4
String.prototype.trimLeft,top,0.537448556,0.00608489781461282,0.5393657,0.4
String.prototype.trimRight,top,0.617081286,0.005405674656726895,0.6175277,0.4
Validator,middle,0.57133134,0.009928086784119071,0.5700038,0.4
ab-testing,bottom,0.584525488,0.01636500523947885,0.5916263,0.4
abab,top,0.36992394,0.043616538560873906,0.3547558,0.4
abstract-logging,middle,0.575697208,0.06406856838554043,0.58489966,0.4
absync,bottom,0.30322402,0.024878480992531486,0.29304677,0.4
