Lib_Name,popularity,Mean_cosine,Std_Cosine_Similarity,Median_Cosine_Similarity,Temp
cross-env,top,0.643515502,0.031285144959117904,0.62986386,0
crossbar-nodejs,bottom,0.41642557599999996,0.020165088409250288,0.4249334,0
crossvent,middle,0.576931508,0.029866534160216302,0.58616257,0
css-declaration-sorter,top,0.709237378,0.012794080077927436,0.7091533,0
css-driven,bottom,0.46087841,0.020047389021139377,0.45784825,0
css-selector-tokenizer,top,0.75673586,0.008824399227879478,0.7530471,0
css-url-versioner,bottom,0.772328126,0.007286527076500813,0.76969486,0
csstree,top,0.60599539,0.02692666175652491,0.62205654,0
csv-join,bottom,0.62575413,0.015401589820762025,0.6257311,0
ctrllr,bottom,0.21872781999999996,0.02253580884538649,0.22104174,0
currently-unhandled,top,0.561472018,0.02767391338918693,0.5579852,0
custom-event,top,0.683876668,0.011994474970757195,0.6874233,0
cyclon.p2p-rtc-client,bottom,0.650074094,0.008637338348610607,0.6504877,0
d3-sankey,middle,0.33766223799999995,0.02074728056976914,0.3417846,0
d3-star-plot,bottom,0.819801558,0.00555561642533214,0.81917256,0
d6,bottom,0.24682072600000002,0.08687227112714811,0.2633384,0
daily-comic.js,bottom,0.707702504,0.016030938786634755,0.71082145,0
dailymotion-sdk-node,bottom,0.8748442040000001,0.01102035174705555,0.8681707,0
danfe,bottom,0.382856062,0.01298319513854814,0.38271236,0
date-fns,top,0.665946354,0.014638474124470068,0.6701777,0
date-math,middle,0.632243892,0.00924502392962126,0.63457716,0
dbcsv,bottom,0.627242928,0.013538860140865578,0.6338126,0
decamelize,top,0.40213474400000004,0.04519240713388068,0.40097427,0
decompress-response,top,0.698016318,0.030201001744680923,0.67804956,0
default-require-extensions,top,0.74503918,0.02174076589513351,0.7544861,0
defaults-deep,middle,0.36314682400000003,0.027111617006432512,0.36249658,0
deferred-interval,bottom,0.7695033139999999,0.01661695581801553,0.77261114,0
define-exceptions,bottom,0.63105776,0.015410972458868383,0.6265733,0
define-properties,top,0.718183148,0.042369200781304815,0.7261809,0
define-property,top,0.47516849,0.020339001302691843,0.46857536,0
del,top,0.5583994480000001,0.024969556867844495,0.5436038,0
delighted-node,bottom,0.7963624300000001,0.00922735381675051,0.79685295,0
denodeify,top,0.703893074,0.02215185708140017,0.6962438,0
dependency-injection,middle,0.792306354,0.024075871153791763,0.78355014,0
derequire-transform,bottom,0.542925646,0.011543251484957844,0.53688496,0
des.js,top,0.5122298279999999,0.01428191863268097,0.5083072,0
detect-browser,middle,0.47593967,0.04177574593014472,0.45696497,0
detect-data-stream,bottom,0.40222676,0.03815786823586717,0.4145714,0
detect-file,top,0.5348547459999999,0.0311874823487498,0.53473413,0
detect-newline,top,0.610234158,0.016507705624444598,0.60412645,0
detect-node,top,0.83396428,0.01112464694252364,0.8323002,0
detect-port,top,0.81906883,0.00541480822120688,0.81875557,0
detect-rename,bottom,0.643097442,0.014426660086552238,0.64169294,0
deuces,bottom,0.40712673600000004,0.018052439371317095,0.4182579,0
dev-web-server,bottom,0.6018256120000001,0.02462122277024377,0.6071985,0
devs,bottom,0.24116850799999998,0.021207606028057956,0.2455024,0
df,middle,0.40126602599999994,0.021114939182734587,0.39938617,0
dial-roller,bottom,0.526746686,0.013704973318572363,0.5216562,0
dialog,bottom,0.6651277,0.015637016710357502,0.6699823,0
diffie-hellman,top,0.7270572200000001,0.024101387312098856,0.73639786,0
dir-glob,top,0.6014802539999999,0.014513580519829693,0.602874,0
directory-path,bottom,0.692868402,0.07278717545841619,0.73742175,0
dirtybit,bottom,0.313648454,0.02100937891187126,0.3022989,0
discord.js-musicbot-addon,middle,0.390745632,0.013232191121517623,0.38531598,0
displayer-api-client,bottom,0.6278884299999999,0.006264423930123221,0.629398,0
dns-packet,top,0.6125251979999999,0.016963296093537392,0.61158586,0
dns-txt,top,0.58666786,0.03852588054578377,0.590502,0
docker-pull,bottom,0.6130324739999999,0.07636225973700479,0.6035151,0
dockerify,bottom,0.46532064799999995,0.02874563079333135,0.44792384,0
dockerspaniel,bottom,0.37234803,0.003400582841484689,0.37095454,0
docooment,bottom,0.358739776,0.007812644017784892,0.36250198,0
dogedc,bottom,0.43881783599999996,0.014121190729682808,0.43118796,0
dom-replace-html-stream,bottom,0.73814547,0.012994363544610452,0.7407952,0
dom-serialize,top,0.67575176,0.02335916379170708,0.6678933,0
dominator,bottom,0.51316382,0.008631421650026718,0.51431954,0
dot-prop,top,0.6334218500000001,0.013797997941464203,0.64112425,0
dotignore,bottom,0.50473346,0.12648111502170195,0.5233153,0
dotpath-compile,bottom,0.74890504,0.018490431686786022,0.75732845,0
download-email-attachments,bottom,0.700874548,0.0369172441402188,0.6903999,0
draftjs-to-html,middle,0.75470556,0.01034215922754045,0.75220966,0
drool,middle,0.20957522599999998,0.0164608573789317,0.20886296,0
droonga-http-server,bottom,0.75866133,0.009027212353229551,0.75657105,0
drop-while,bottom,0.403217038,0.010528614655604972,0.40780464,0
dropbox-auth-cli,bottom,0.59315553,0.021738341923518492,0.60051626,0
dropbox-mock.js,bottom,0.60394372,0.016060410536776436,0.60027516,0
dropbox-sdk-js,middle,0.86043298,0.0018749172365200807,0.8597468,0
dsigner,bottom,0.49496618400000003,0.028710582969217652,0.504161,0
dtree,bottom,0.36250778,0.02602498360457503,0.35258222,0
duplexify,top,0.593851374,0.009858481173404982,0.5910119,0
dustjacket,bottom,0.564959926,0.025690740999295428,0.5703291,0
dynamo-converters,bottom,0.8069381,0.006133974602099348,0.80330515,0
e3x-cs3a,bottom,0.174475252,0.031133157303336094,0.16974396,0
earl-grey,middle,0.345648632,0.017987551387489347,0.35103083,0
edp-bcs,bottom,0.6955584779999999,0.014523516289002468,0.6965784,0
edx-modulestore-node,bottom,0.686878302,0.01294319542538935,0.69012904,0
eightbyeight,bottom,0.33807718200000003,0.04219573799867852,0.3304808,0
ejs,top,0.788148286,0.03543388433878617,0.7930769,0
electron-json-storage,middle,0.61043471,0.03707829139901812,0.6352501,0
electron-reload,middle,0.768435856,0.009881275390751959,0.76859194,0
electron-squirrel-startup,middle,0.737473328,0.023773971671109576,0.7354115,0
electron-store,middle,0.7606124299999999,0.026372540368004013,0.766992,0
electron-window-state,middle,0.8351487479999999,0.022719810427895774,0.84428334,0
element-resize-event,middle,0.73323856,0.023871594822504,0.7282725,0
elixir,top,0.308369044,0.01806379328380614,0.30908144,0
elliptic,top,0.7724216,0.010921003129978521,0.7777777,0
email-obfuscator,bottom,0.6568541939999999,0.01276591923164095,0.65591145,0
ember-assign-polyfill,middle,0.714621904,0.009293508457858096,0.71327776,0
ember-browserify,middle,0.794294558,0.05502797664020017,0.8190175,0
ember-cli-admin-languages,bottom,0.83224754,0.005584919550718695,0.8327756,0
ember-cli-array-slice,bottom,0.8525116580000001,0.008418867228393608,0.85784507,0
ember-cli-autoprefixer,middle,0.5246053780000001,0.023786697183562917,0.5137663,0
ember-cli-deploy,middle,0.815208196,0.02297617264265915,0.8251606,0
ember-cli-github-pages,middle,0.686033738,0.022655438399504,0.68395734,0
ember-cli-jsx,bottom,0.7412194440000001,0.011303847063474854,0.740814,0
ember-cli-typescript,middle,0.684452558,0.014269923019687972,0.6931519,0
ember-dropkick,bottom,0.733630044,0.030182140387425827,0.74783874,0
ember-lodash,middle,0.7877313499999999,0.01676074046969289,0.79933494,0
ember-pdfjs,bottom,0.8301236,0.0062180595382522585,0.8291881,0
ember-power-select,middle,0.8127712340000001,0.014705705421919736,0.8128269,0
ember-sinon,middle,0.75269956,0.02490378206027752,0.76068294,0
ember-test-helpers,middle,0.8639449240000001,0.012246260275589442,0.86294484,0
emic2,bottom,0.46334669799999995,0.022363127276808135,0.45868307,0
emoji-regex,top,0.780921578,0.019798060439548588,0.7806457,0
emoney,bottom,0.20674144600000002,0.007612078411776248,0.20279726,0
enable,middle,0.492996506,0.023708327505798012,0.48742232,0
enb-browserify,bottom,0.83614668,0.005174242248943295,0.83629495,0
enb-y-i18n,bottom,0.58966273,0.012748241482239802,0.5922897,0
encodeurl,top,0.600433454,0.018600985953579993,0.61135733,0
encoding-down,middle,0.5511674120000001,0.02049522552632005,0.5403532,0
ends-with,middle,0.5765505400000001,0.0336260960190408,0.5881447,0
engine.io-parser,top,0.8326005820000001,0.012122794526206378,0.828953,0
epinfer,bottom,0.1324481888,0.041871550697399396,0.14171685,0
eris,middle,0.601749476,0.03232958275584579,0.5889363,0
errorhandler,top,0.694533122,0.027212537991031304,0.68565565,0
erroz,bottom,0.42750481,0.01007169299659691,0.42614254,0
es-abstract,top,0.748367448,0.019969812035232588,0.7443253,0
es-tar,bottom,0.12403613520000001,0.01539753590783003,0.1313528,0
es-to-primitive,top,0.55412336,0.05729253399259802,0.5668256,0
es6-project-starter-kit,bottom,0.7387779520000001,0.021880827404043002,0.7427787,0
esbeautifier,middle,0.671030632,0.01200549195360693,0.670387,0
escallmatch,middle,0.41137111800000004,0.01626143948940468,0.40621534,0
escape-string-regexp,top,0.73978054,0.011871781684229268,0.73793,0
esformatter-quotes,middle,0.8131089420000001,0.007740572144087307,0.8119748,0
eslint-config-kentcdodds,middle,0.646335144,0.015581043055067937,0.64502966,0
eslint-config-node-style-guide,middle,0.798210088,0.007330299584172496,0.7977656,0
eslint-config-peerigon,middle,0.7893676079999999,0.015042615907491605,0.7815635,0
eslint-config-react,middle,0.746284638,0.004244229333674119,0.7462555,0
eslint-config-standard,top,0.8861758820000001,0.003384912514780856,0.88557994,0
eslint-loader,top,0.88281172,0.0038976514993968076,0.88084865,0
eslint-plugin,middle,0.68030165,0.00557448880862633,0.68306905,0
eslint-plugin-css-modules,middle,0.393077464,0.012012247081742446,0.3893472,0
eslint-plugin-github,middle,0.73110897,0.014771145472660528,0.7282363,0
eslint-plugin-import,top,0.787960278,0.013626046924637395,0.7925719,0
eslint-plugin-lodash,middle,0.7796233619999999,0.011329744814788238,0.7821959,0
eslint-plugin-node,top,0.83223635,0.004149893373931433,0.83012915,0
eslint-plugin-react,top,0.758058092,0.014112180236494992,0.7519348,0
eslint-plugin-standard,top,0.622662702,0.015313307808145864,0.6198459,0
espial,bottom,0.335357962,0.026105406566340205,0.33495083,0
espower-source,middle,0.552704866,0.01867130418593412,0.5557971,0
espree,top,0.571128706,0.008412704797856623,0.56775355,0
esri-dump,bottom,0.56190321,0.02754660432713078,0.55173445,0
esri-gnip,bottom,0.512332068,0.02455145637329732,0.52218544,0
estktap,bottom,0.34191918600000004,0.06946330239855955,0.33444875,0
etag,top,0.688230208,0.03451110197597753,0.7014873,0
event-aggregator,middle,0.52156055,0.022215751197726792,0.5260515,0
event-source-emitter,bottom,0.570162708,0.014482732282560513,0.5695884,0
excuses,bottom,0.621580876,0.02059781100180501,0.61567324,0
exec-sh,top,0.6132029,0.009723206269538917,0.6123334,0
execa,top,0.405672312,0.011994294434693516,0.40578204,0
exit-hook,top,0.49645985000000004,0.036905454271500986,0.50649387,0
exp-asynccache,bottom,0.6332522,0.018316903318417396,0.63536435,0
expand-brackets,top,0.6097649740000001,0.03478031479661706,0.61250174,0
expand-range,top,0.57399442,0.035779922612297524,0.5786786,0
exposify,middle,0.46444013799999995,0.05964458646277858,0.48435137,0
express-batch,bottom,0.782499056,0.005626147737833609,0.7812129,0
express-boot,bottom,0.537322556,0.025266284718618224,0.5327987,0
express-fluent-logger,bottom,0.8390438,0.028208165218346782,0.84562975,0
express-orm-mvc,bottom,0.825521738,0.033648906622269624,0.83355665,0
express-qrcode,bottom,0.584194284,0.028187234524267014,0.58161557,0
express-react-views,middle,0.685116108,0.010586870560005941,0.6842408,0
express-request-proxy,middle,0.726812138,0.02925589547752251,0.7404806,0
express-sanitizer,middle,0.59621547,0.024781395541270484,0.5944379,0
express-wrangler,bottom,0.609883282,0.016122843265414424,0.6059159,0
extend-shallow,top,0.61764074,0.028651468592618436,0.61011386,0
extglob,top,0.59293071,0.034506697459430954,0.61034983,0
extract-gettext,bottom,0.537367672,0.023724873470387996,0.5353494,0
extract-text-webpack-plugin,top,0.747134626,0.023381006869011862,0.73870796,0
extract-zip,top,0.778463726,0.025586812352832895,0.7720476,0
fancy-log,top,0.47849496199999997,0.0061761053964468505,0.4755596,0
fast-json-stringify,middle,0.734985666,0.019329274280046826,0.7304995,0
fastfall,middle,0.479218438,0.04032193617277723,0.45581657,0
fastft-api-client,bottom,0.7278141220000001,0.016364200937061365,0.7304275,0
fastparse,top,0.445623518,0.013918465284420556,0.4489258,0
fb-node,bottom,0.519452646,0.01210006605067843,0.51309454,0
fb-xmpp-connector,bottom,0.323662886,0.012207169044208406,0.3297503,0
fetch,top,0.421354546,0.01106453654960433,0.41875386,0
fetch-client,middle,0.766803718,0.011241748611144511,0.7673646,0
fetch-ponyfill,middle,0.7015480080000001,0.031640837486952976,0.7092399,0
fetchr,middle,0.336040712,0.020633641977012212,0.3422883,0
figures,top,0.41808152400000004,0.027617547127948023,0.4366426,0
file-type,top,0.616131054,0.02695903827828399,0.6265322,0
filename-regex,top,0.6911442720000001,0.010921116272200387,0.6883184,0
filetobase64,bottom,0.642774752,0.007989778018212993,0.64458174,0
fill-range,top,0.598183326,0.01967533335470532,0.60087156,0
finalhandler,top,0.689440776,0.030811174202738198,0.68712336,0
find-cache-dir,top,0.652450086,0.02948264251485914,0.6393823,0
find-file-up,middle,0.412611336,0.014757696866228118,0.4164219,0
find-process,middle,0.669886988,0.019317844784880148,0.6636828,0
find-up,top,0.557358438,0.0072120984828079,0.55690914,0
