Temperature,Popularity,Mean_Cosine_Similarity
0.0,bottom,0.5619723894016491
0.0,middle,0.6232285601162119
0.0,top,0.610445661091358
0.2,bottom,0.5618757269954334
0.2,middle,0.6224026874437475
0.2,top,0.6088512880341563
0.4,bottom,0.5615448238860464
0.4,middle,0.6220814753906314
0.4,top,0.6096902033950617
