Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
keystone,bottom,5,0.3272,0.038,0.344
json-silo,bottom,5,0.3219,0.0137,0.3163
issuemd,bottom,5,0.3218,0.0161,0.3208
rollup,top,5,0.3212,0.0467,0.3014
yargonaut,middle,5,0.317,0.0274,0.3207
marko,middle,5,0.3163,0.0,0.3163
execa,top,5,0.3151,0.0447,0.2941
cliclopts,middle,5,0.3127,0.0151,0.3068
atoa,middle,5,0.312,0.0097,0.3151
framework,middle,5,0.3113,0.0204,0.3093
object.assign,top,5,0.3083,0.0008,0.308
babel-plugin-precompile-charcodes,middle,5,0.3042,0.0071,0.3027
capture-stack-trace,top,5,0.3026,0.018,0.2961
contra,middle,5,0.3024,0.0111,0.2973
command-line-commands,middle,5,0.2981,0.015,0.2926
partialify,middle,5,0.2962,0.0164,0.2961
verup,middle,5,0.2942,0.033,0.2839
choice,bottom,5,0.2935,0.0108,0.2999
absync,bottom,5,0.2914,0.0199,0.289
call,middle,5,0.2906,0.0104,0.2932
number-is-nan,top,5,0.2889,0.0012,0.2894
path-is-absolute,top,5,0.287,0.0194,0.2881
dirtybit,bottom,5,0.2844,0.0184,0.2908
node-accept-language,bottom,5,0.2841,0.0111,0.2826
pako,top,5,0.2814,0.036,0.3006
angular-text-toggle,bottom,5,0.2805,0.0067,0.2757
gulp-serve,bottom,5,0.2805,0.0149,0.2809
callback-with,bottom,5,0.2781,0.0551,0.269
core,bottom,5,0.2772,0.0108,0.2799
docooment,bottom,5,0.2752,0.0027,0.2733
original,top,5,0.2726,0.0207,0.2836
d3-sankey,middle,5,0.2714,0.0235,0.2781
knowhow,bottom,5,0.2706,0.0083,0.267
postcss-modules-values,top,5,0.27,0.0016,0.2711
node-hertz,bottom,5,0.2693,0.0501,0.279
ace,middle,5,0.2684,0.0214,0.2751
correcthorse,bottom,5,0.2645,0.0141,0.2592
estktap,bottom,5,0.2642,0.0235,0.2628
nash,middle,5,0.2635,0.0212,0.2611
machine,middle,5,0.2614,0.0342,0.2441
cli,middle,5,0.2612,0.0187,0.2701
abab,top,5,0.2609,0.0148,0.2594
clocker,bottom,5,0.2606,0.0253,0.266
figures,top,5,0.2598,0.0221,0.2563
high5,bottom,5,0.2595,0.0139,0.2551
toxic,middle,5,0.2535,0.0082,0.2532
consign,middle,5,0.2533,0.0113,0.2463
object-visit,top,5,0.2515,0.0277,0.2502
garnish,middle,5,0.2511,0.0072,0.2494
devs,bottom,5,0.2433,0.0191,0.2445
gaffa-image,bottom,5,0.2402,0.0039,0.239
hideout,bottom,5,0.24,0.0074,0.2378
node-fixturify,middle,5,0.2384,0.0146,0.2351
is-finite,top,5,0.2381,0.0056,0.2422
cli-width,top,5,0.2354,0.0256,0.2268
laravel-mix,top,5,0.2342,0.0144,0.2421
iputil,bottom,5,0.2337,0.0093,0.2381
bookshelf-manager,bottom,5,0.2336,0.0073,0.2307
corq,bottom,5,0.2335,0.0112,0.24
lookup-deps,bottom,5,0.2317,0.0164,0.2309
npm-prepublish,middle,5,0.2304,0.0087,0.2342
drool,middle,5,0.2215,0.0146,0.2221
elixir,top,5,0.2207,0.0044,0.2219
rev-del,middle,5,0.2191,0.0023,0.2191
infer,bottom,5,0.2189,0.0138,0.216
ripple,middle,5,0.2189,0.0132,0.2239
Cruiser,bottom,5,0.2169,0.0123,0.2237
emoney,bottom,5,0.2153,0.0111,0.2143
interpret,top,5,0.2136,0.0074,0.2154
impersonate,bottom,5,0.2105,0.0442,0.2322
plexer,middle,5,0.2079,0.0322,0.2004
bootstrapper,middle,5,0.2033,0.0185,0.2066
pal,middle,5,0.2008,0.0117,0.1974
gnar,bottom,5,0.199,0.0142,0.1978
ctrllr,bottom,5,0.1986,0.0132,0.1905
write,top,5,0.1978,0.0001,0.1977
nyc,top,5,0.1958,0.0112,0.1886
haypeaeye,bottom,5,0.1946,0.026,0.1902
coffee,middle,5,0.193,0.022,0.2083
cpa.js,bottom,5,0.1894,0.0146,0.1819
append-transform,top,5,0.1838,0.0923,0.1261
hmks,bottom,5,0.1797,0.0341,0.1578
glue,middle,5,0.1704,0.0163,0.1703
preserve,top,5,0.1704,0.0346,0.1554
kiss,bottom,5,0.1698,0.027,0.1777
parse-asn1,top,5,0.168,0.0072,0.1724
gcr,bottom,5,0.1657,0.0258,0.1473
node-lei-routes-sort,bottom,5,0.1656,0.0097,0.1655
gulp-exemplary,bottom,5,0.1645,0.0051,0.1629
lag,bottom,5,0.1591,0.0224,0.1639
http-proxy-noCrash,bottom,5,0.1559,0.0025,0.1567
meow,top,5,0.1557,0.048,0.1839
fined,top,5,0.1538,0.0717,0.1768
breadboard,bottom,5,0.1527,0.0046,0.1538
blender,bottom,5,0.1456,0.0201,0.1559
iffi,bottom,5,0.1442,0.0091,0.1476
bunnydo,bottom,5,0.1435,0.0239,0.1501
d6,bottom,5,0.1422,0.009,0.1395
animar,bottom,5,0.1402,0.0042,0.1396
htmlizer,bottom,5,0.1296,0.0122,0.1304
date-now,top,5,0.1264,0.0069,0.1245
