Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
js-multiaddr,middle,5,0.8349,0.0331,0.8204
ember-cli-deploy,middle,5,0.8348,0.025,0.8375
mocha-fivemat-progress-reporter,middle,5,0.8347,0.0063,0.8363
led-canvas-fonts,bottom,5,0.8344,0.0056,0.8339
wangEditor,middle,5,0.8343,0.0069,0.8363
whatwg-url,top,5,0.834,0.0113,0.8367
node-lru-cache-cluster,bottom,5,0.8337,0.0087,0.8328
nodejs-fluent-validator,bottom,5,0.8329,0.0158,0.8336
lark-log,bottom,5,0.8325,0.0117,0.8347
ember-pdfjs,bottom,5,0.8322,0.0127,0.8332
bloggy-rss,bottom,5,0.8315,0.0181,0.8311
backbone-db-mongodb,bottom,5,0.831,0.0115,0.8262
webpack-subresource-integrity,top,5,0.8306,0.0129,0.832
libphonenumber-js,middle,5,0.8306,0.0056,0.833
actions-on-google-nodejs,middle,5,0.8305,0.0126,0.8342
react-native-progress,middle,5,0.8303,0.0133,0.8217
d3-star-plot,bottom,5,0.8296,0.0045,0.8291
ember-cli-admin-languages,bottom,5,0.8288,0.0223,0.8374
strong-globalize,middle,5,0.8286,0.0095,0.8302
koa-passport,middle,5,0.8284,0.0063,0.8311
emoji-regex,top,5,0.827,0.0277,0.8116
babel-preset-es2015-without-strict,middle,5,0.8243,0.0199,0.8294
acorn-globals,top,5,0.8237,0.0132,0.8277
neo-async,top,5,0.8235,0.0166,0.8297
lowercase-keys,top,5,0.823,0.0209,0.8209
draftjs-to-html,middle,5,0.8227,0.0068,0.8255
gulp-css-inline-images,middle,5,0.8227,0.0186,0.828
couchdb-user-account,bottom,5,0.8225,0.009,0.8247
babel-preset-es2015-node5,middle,5,0.8221,0.0342,0.8384
js-libp2p-crypto,middle,5,0.8219,0.0074,0.8212
markdown-it-abbr,middle,5,0.8218,0.0216,0.8086
prompt-sync,middle,5,0.8212,0.0537,0.8386
react-paginate,middle,5,0.8202,0.0048,0.8194
vue-loader,top,5,0.82,0.0166,0.8135
react-quill,middle,5,0.8193,0.0126,0.8158
react-responsive-carousel,middle,5,0.819,0.0223,0.8277
express-orm-mvc,bottom,5,0.8179,0.0094,0.8193
ice-cap,middle,5,0.8178,0.0139,0.8152
gulplog,top,5,0.8175,0.017,0.8157
has-gulplog,top,5,0.8175,0.0171,0.8143
gulp-mustache,middle,5,0.8165,0.0261,0.8224
uglifyjs-webpack-plugin,top,5,0.8164,0.0078,0.8149
express-fluent-logger,bottom,5,0.8157,0.0117,0.8191
react-flexbox-grid,middle,5,0.8152,0.0127,0.8175
js-ipld-dag-cbor,middle,5,0.8148,0.02,0.8179
goodscloud-node,bottom,5,0.8147,0.0139,0.8163
gulp-html-extract,middle,5,0.8145,0.0129,0.8173
hammer-draggables,bottom,5,0.8144,0.0205,0.8215
react-component-gulp-tasks,middle,5,0.8139,0.0058,0.8167
babel-preset-es2015-node6,middle,5,0.8135,0.0107,0.8163
karma-tap-reporter,middle,5,0.8133,0.026,0.8222
angular-sockjs,bottom,5,0.8132,0.0139,0.8157
grunt-date-suffix,bottom,5,0.8132,0.018,0.8025
dynamo-converters,bottom,5,0.8129,0.0115,0.8136
react-masonry-component,middle,5,0.8123,0.0121,0.815
ember-power-select,middle,5,0.8121,0.0074,0.8135
karma-systemjs,middle,5,0.8111,0.0296,0.8144
levenshtein-edit-distance,middle,5,0.811,0.024,0.8034
swagger-jsdoc,middle,5,0.8099,0.0444,0.8244
gulp-mock,bottom,5,0.8092,0.0073,0.8107
ember-cli-array-slice,bottom,5,0.8088,0.0141,0.8128
node-benchmarks,bottom,5,0.8079,0.0166,0.8107
react-grid-layout,middle,5,0.8076,0.0234,0.8033
ansi-escapes,top,5,0.8073,0.0189,0.8065
sort-keys,top,5,0.807,0.0265,0.8127
ip-regex,top,5,0.8069,0.0327,0.8047
jasmine-jsonpath,bottom,5,0.8066,0.0115,0.81
ejs,top,5,0.8066,0.0108,0.8012
rollup-plugin-babel-minify,middle,5,0.8063,0.0216,0.8166
grunt-slm,bottom,5,0.806,0.0225,0.8188
koa-connect,middle,5,0.8057,0.0659,0.7876
knex-schema-builder,bottom,5,0.8053,0.0062,0.8067
backbone-db-elasticsearch,bottom,5,0.8042,0.0062,0.8014
vector-tile-js,middle,5,0.8041,0.0129,0.8091
breeze.js.labs,bottom,5,0.804,0.0176,0.8037
eslint-plugin-lodash,middle,5,0.8037,0.0015,0.8029
buffer-indexof-polyfill,middle,5,0.8031,0.0426,0.819
gulp-connect-php,middle,5,0.8026,0.01,0.8052
babelrc-rollup,middle,5,0.8025,0.0425,0.8167
react-toggle,middle,5,0.8016,0.0249,0.7936
karma-chai-js-factories,bottom,5,0.8014,0.0209,0.7932
indexeddb-mock,bottom,5,0.8001,0.0093,0.795
coreos-cluster,bottom,5,0.8,0.0086,0.7978
pkg-dir,top,5,0.7998,0.0228,0.8069
verb-tag-jscomments,middle,5,0.7995,0.0052,0.799
void-elements,top,5,0.7991,0.0094,0.8
ember-lodash,middle,5,0.7985,0.0076,0.8004
grunt-neo4j,bottom,5,0.7977,0.0116,0.7975
babel-preset-power-assert,middle,5,0.7976,0.0201,0.7903
karma-jenkins-reporter,middle,5,0.7975,0.0134,0.7971
angular-router-loader,middle,5,0.797,0.0495,0.8235
generator-meshblu-connector,bottom,5,0.7962,0.0109,0.8017
element-resize-event,middle,5,0.7949,0.0175,0.791
angular-chart.js,middle,5,0.7943,0.0063,0.7953
particles.js,middle,5,0.7942,0.0129,0.8012
is-stream,top,5,0.793,0.0187,0.7891
nativescript-hook,middle,5,0.7929,0.0075,0.7918
ember-browserify,middle,5,0.7926,0.0352,0.7996
json-fling,bottom,5,0.7925,0.021,0.7958
google-libphonenumber,middle,5,0.7925,0.0076,0.7903
hexo-renderer-haml,bottom,5,0.7924,0.0161,0.7924
arangojs-extended,bottom,5,0.7923,0.009,0.789
grunt-check-pages,middle,5,0.792,0.0076,0.7906
alphanum-sort,top,5,0.7918,0.0087,0.795
html-comment-regex,top,5,0.7907,0.0136,0.7971
dependency-injection,middle,5,0.7904,0.0155,0.7949
ansi-colors,top,5,0.79,0.0047,0.7883
gulp-tape,middle,5,0.7897,0.0111,0.7871
body-parser,top,5,0.7896,0.0297,0.7809
prom-client,middle,5,0.7895,0.0714,0.7727
Leaflet.MapboxVectorTile,bottom,5,0.7894,0.0132,0.7927
react-highcharts,middle,5,0.7892,0.0023,0.788
css-url-versioner,bottom,5,0.789,0.0178,0.7877
mocha-eslint,middle,5,0.7885,0.0177,0.787
lark-router,bottom,5,0.7885,0.0056,0.7855
express-batch,bottom,5,0.7884,0.0109,0.7859
multicast-dns,top,5,0.7881,0.0302,0.8011
react-native-collapsible,middle,5,0.7879,0.0186,0.7941
http-proxy-middleware,top,5,0.7876,0.0186,0.7913
latest-version,top,5,0.7873,0.0321,0.7937
postcss-selector-matches,top,5,0.7868,0.0263,0.7919
spdx-license-list,middle,5,0.7866,0.0095,0.7909
session-file-store,middle,5,0.786,0.0175,0.793
grunt-template-jasmine-dojo,bottom,5,0.7848,0.0104,0.7822
react-highlight,middle,5,0.7843,0.0234,0.7871
ember-cli-jsx,bottom,5,0.7837,0.0193,0.7882
alchemist-hsl,bottom,5,0.7834,0.0195,0.7843
browser-pdf-support,bottom,5,0.7833,0.0056,0.7844
extract-text-webpack-plugin,top,5,0.7832,0.0103,0.7833
dotpath-compile,bottom,5,0.7825,0.0095,0.7819
redux-localstorage,middle,5,0.7814,0.0108,0.7791
fetch-client,middle,5,0.7813,0.012,0.7856
gulp-istanbul-enforcer,middle,5,0.7806,0.0218,0.7667
markdown-it-table-of-contents,middle,5,0.7803,0.0141,0.7836
mochawesome-report-generator,middle,5,0.7803,0.0117,0.7821
google-maps-services-js,middle,5,0.7802,0.0055,0.7838
grunt-xunit,bottom,5,0.7801,0.0156,0.7792
vue-component-compiler,middle,5,0.78,0.0086,0.7775
markdown-it-sup,middle,5,0.78,0.0205,0.7894
generator-utils,bottom,5,0.7799,0.012,0.7776
geojson-summary,bottom,5,0.7796,0.0097,0.7845
hexo-renderer-jade,middle,5,0.7787,0.0114,0.7799
micromatch,top,5,0.7782,0.0272,0.785
loopback-connector-kafka,bottom,5,0.7781,0.0066,0.7756
gulp-develop-server,middle,5,0.7781,0.0203,0.7811
spdx-license-ids,top,5,0.7773,0.0078,0.7807
imagemin-jpeg-recompress,middle,5,0.7769,0.0096,0.7729
arpisea,bottom,5,0.7765,0.0461,0.7797
contentful-sdk-core,middle,5,0.7761,0.0091,0.7765
elliptic,top,5,0.7757,0.0136,0.7687
stream-http,top,5,0.7757,0.0189,0.7718
grunt-crowdin,bottom,5,0.7756,0.0197,0.7713
ampersand-sync-localforage,bottom,5,0.7755,0.0224,0.7753
droonga-http-server,bottom,5,0.7746,0.0188,0.7755
electron-store,middle,5,0.774,0.0282,0.7789
babel-loader,top,5,0.774,0.016,0.7791
color-support,top,5,0.7737,0.013,0.7738
eslint-config-peerigon,middle,5,0.7735,0.0096,0.7755
node-directory-tree,middle,5,0.7721,0.0106,0.7694
jisonify,bottom,5,0.7716,0.0172,0.7725
es6-project-starter-kit,bottom,5,0.7715,0.0061,0.7724
rethinkdbdash,middle,5,0.7714,0.0303,0.7755
eslint-plugin-react,top,5,0.7712,0.0455,0.8
postcss-functions,middle,5,0.771,0.0107,0.7709
gulp-coverage,bottom,5,0.7703,0.0108,0.7654
js-peer-id,middle,5,0.7702,0.0056,0.7705
react-notification-system,middle,5,0.7693,0.0094,0.7675
global-prefix,top,5,0.7684,0.0318,0.7641
browserify-des,top,5,0.7684,0.0274,0.7775
react-native-modalbox,middle,5,0.7678,0.0059,0.7674
postcss-selector-not,top,5,0.7676,0.0244,0.7794
webpack-cleanup-plugin,middle,5,0.7673,0.0297,0.77
redux-thunk,top,5,0.7672,0.0307,0.7772
int64-buffer,middle,5,0.7671,0.0266,0.7509
react-svg-loader,middle,5,0.7666,0.0117,0.7686
is-generator-fn,top,5,0.7659,0.0337,0.7741
is-absolute-url,top,5,0.7658,0.0095,0.7631
url-parse,top,5,0.7656,0.0199,0.7674
node-homedir,middle,5,0.7647,0.018,0.7606
loopback-swagger,middle,5,0.7646,0.0076,0.7646
default-require-extensions,top,5,0.7642,0.0178,0.7545
gulp-espower,middle,5,0.764,0.0087,0.7653
css-selector-tokenizer,top,5,0.764,0.0173,0.765
eslint-plugin-import,top,5,0.7639,0.0196,0.7594
google-maps-react,middle,5,0.7637,0.0096,0.7663
react-share,middle,5,0.7637,0.0087,0.7604
html-webpack-harddisk-plugin,middle,5,0.7631,0.0296,0.774
hash.js,top,5,0.7628,0.0098,0.7613
gulp-stylint,middle,5,0.7625,0.1116,0.8142
delighted-node,bottom,5,0.7616,0.0232,0.7547
detect-port,top,5,0.7615,0.011,0.7663
rollup-plugin-node-resolve,top,5,0.7615,0.0205,0.7497
semver-diff,top,5,0.7614,0.0181,0.7708
generator-appsngen-web-widget,bottom,5,0.7613,0.004,0.7612
gulp-dotjs-packer,bottom,5,0.7611,0.0176,0.7681
scss-tokenizer,top,5,0.7607,0.0156,0.7542
rollup-plugin-multi-entry,middle,5,0.76,0.024,0.7645
fs-write-stream-atomic,top,5,0.7596,0.0105,0.7576
karma-jasmine-jquery,middle,5,0.7592,0.0119,0.7542
react-moment-proptypes,middle,5,0.7587,0.0594,0.7963
to-fast-properties,top,5,0.7582,0.0071,0.7573
node-json-rest-client,bottom,5,0.7577,0.0057,0.7551
fetch-ponyfill,middle,5,0.7573,0.0127,0.7525
innkeeper-storememory,bottom,5,0.7571,0.0195,0.7642
hapi-boom-jsend,bottom,5,0.7568,0.0231,0.7523
copy-webpack-plugin,top,5,0.7566,0.017,0.7513
git-latest-semver-tag,middle,5,0.756,0.0108,0.7618
slice-ansi,top,5,0.7559,0.0419,0.7686
unit.js,middle,5,0.7559,0.0384,0.7443
eslint-config-react,middle,5,0.7555,0.0015,0.7553
confy-node,bottom,5,0.755,0.0056,0.7546
bili,middle,5,0.7548,0.0959,0.806
gitbook,middle,5,0.7544,0.0074,0.7542
node-app-root-dir,middle,5,0.7541,0.0049,0.7523
closest,middle,5,0.7536,0.0525,0.74
generator-videojs-plugin,bottom,5,0.7535,0.0054,0.7532
electron-window-state,middle,5,0.7534,0.0059,0.7525
eslint-plugin-github,middle,5,0.753,0.0028,0.7531
gitbook-plugin-lexicon,bottom,5,0.7529,0.0115,0.7525
ember-cli-typescript,middle,5,0.7527,0.0172,0.7504
npm-installer,middle,5,0.7526,0.0064,0.7513
caller-callsite,top,5,0.7525,0.0227,0.754
util-deprecate,top,5,0.7521,0.0101,0.7507
node-local-config,bottom,5,0.7518,0.0107,0.7532
karma-chai-factories,bottom,5,0.7518,0.0236,0.7582
eslint-config-node-style-guide,middle,5,0.7516,0.0082,0.7538
ampersand-radio-view,bottom,5,0.7513,0.0189,0.7547
escape-string-regexp,top,5,0.751,0.0114,0.7572
hapi-jwt,bottom,5,0.7505,0.0097,0.7556
node-artstack,bottom,5,0.7498,0.0162,0.7565
has-key-deep,bottom,5,0.7497,0.0218,0.7607
querystringify,top,5,0.7495,0.0139,0.744
ember-dropkick,bottom,5,0.7493,0.0594,0.7313
normalize-url,top,5,0.749,0.0067,0.7485
is-fullwidth-code-point,top,5,0.748,0.0299,0.7555
safe-buffer,top,5,0.748,0.0785,0.7881
vux-loader,middle,5,0.7478,0.0055,0.7456
joi-assert,middle,5,0.7474,0.039,0.7653
dom-replace-html-stream,bottom,5,0.7471,0.0082,0.7492
got,top,5,0.7468,0.0224,0.7476
is-binary-path,top,5,0.7465,0.0361,0.7585
postcss-calc,top,5,0.7462,0.0102,0.7438
base64-img,middle,5,0.7462,0.0128,0.752
utfstring,middle,5,0.746,0.0157,0.7415
npm-name,middle,5,0.7458,0.0281,0.7416
react-resizable,middle,5,0.7458,0.0121,0.7536
homedir-polyfill,top,5,0.7451,0.0612,0.7676
loglog-server-mongodb,bottom,5,0.7439,0.0129,0.7457
snapdragon-util,top,5,0.7438,0.0295,0.7453
clone-deep,top,5,0.7435,0.0096,0.7411
gulp-atom-electron,middle,5,0.7425,0.016,0.7388
karma-webpack,top,5,0.7424,0.01,0.7422
jxt-atom,bottom,5,0.7423,0.0113,0.7434
broccoli-csssplit,bottom,5,0.742,0.0134,0.7459
i18next-sprintf-postProcessor,middle,5,0.742,0.0275,0.7374
becklyn-gulp,bottom,5,0.7418,0.0084,0.7388
superagent-promise,middle,5,0.7403,0.02,0.7412
animator-css,middle,5,0.7403,0.0081,0.7412
v8flags,top,5,0.7393,0.076,0.7761
angular-ziptastic,bottom,5,0.7393,0.0171,0.7439
heroku-proxy,bottom,5,0.7385,0.0144,0.7388
react-redux,top,5,0.7381,0.0453,0.7526
gitbook-plugin-comments,bottom,5,0.7379,0.0141,0.7374
karma-bamboo-reporter,bottom,5,0.7378,0.0091,0.7416
modify-babel-preset,middle,5,0.7378,0.0084,0.7406
loopback-component-passport,middle,5,0.7377,0.031,0.7271
fredApi,bottom,5,0.7374,0.0094,0.738
karma-electron,middle,5,0.7368,0.0075,0.7363
deferred-interval,bottom,5,0.7365,0.0156,0.7308
fast-json-stringify,middle,5,0.7363,0.0205,0.7402
is-dotfile,top,5,0.7361,0.018,0.7451
esformatter-quotes,middle,5,0.7361,0.0129,0.7364
gulp-changed-in-place,middle,5,0.7359,0.0187,0.7431
Fritbot,bottom,5,0.7359,0.0061,0.7361
binary-extensions,top,5,0.7357,0.0178,0.7373
gulp-subtree,middle,5,0.7355,0.0525,0.7352
serve-favicon,top,5,0.7354,0.0257,0.7216
edp-bcs,bottom,5,0.7349,0.0217,0.743
msgpack-lite,middle,5,0.7349,0.0489,0.7433
grunt-caveman,bottom,5,0.7346,0.0174,0.7375
shallow-clone,top,5,0.7344,0.0551,0.7433
console.table,middle,5,0.7339,0.0222,0.7389
camelcase-keys,top,5,0.7339,0.0214,0.7277
ansi-regex,top,5,0.7337,0.0052,0.7323
unescape-js,middle,5,0.7337,0.0256,0.7461
broccoli-ng-templatecache,bottom,5,0.7332,0.0178,0.7418
bin-pack,middle,5,0.7318,0.0073,0.7333
vue-moment,middle,5,0.7315,0.0148,0.7321
node-ansi,bottom,5,0.7312,0.0137,0.7258
react-mounter,middle,5,0.7307,0.0524,0.7577
giphy-api,middle,5,0.7305,0.015,0.7295
rework-plugin-function,middle,5,0.73,0.0151,0.7377
rework-plugin-url,middle,5,0.7299,0.0179,0.7368
cordova-lib,middle,5,0.7288,0.0099,0.7329
ioBroker.js-controller,bottom,5,0.728,0.0086,0.7241
is-descriptor,top,5,0.7279,0.0201,0.725
webpack-sources,top,5,0.7277,0.0119,0.7221
is-svg,top,5,0.7273,0.0219,0.7232
decompress-response,top,5,0.727,0.0227,0.7272
hexo-cli,middle,5,0.7269,0.0154,0.7293
gulp-wrapper,middle,5,0.7255,0.0204,0.725
internal-ip,top,5,0.7254,0.0244,0.7373
catbox-s3,bottom,5,0.7251,0.0385,0.7361
unc-path-regex,top,5,0.7251,0.0505,0.7525
random-item,middle,5,0.7243,0.0192,0.7341
ass-to-vtt,bottom,5,0.724,0.0117,0.7173
webpack-middleware,middle,5,0.7238,0.0161,0.7222
simple-sha1,middle,5,0.7229,0.025,0.7264
mocha-text-cov,middle,5,0.7225,0.0057,0.7248
ember-sinon,middle,5,0.7225,0.0199,0.7204
friendly-errors-webpack-plugin,top,5,0.7224,0.0057,0.7235
grunt-blogbuilder,bottom,5,0.7223,0.0123,0.7219
electron-reload,middle,5,0.7222,0.0539,0.6969
hapi-monit,bottom,5,0.7221,0.0487,0.7351
builtin-status-codes,top,5,0.7215,0.0258,0.7122
postcss-inline-svg,middle,5,0.7214,0.0052,0.7212
backbone.declarative.views,bottom,5,0.7213,0.0192,0.719
fastft-api-client,bottom,5,0.7213,0.0115,0.7235
fluxxor-autobind,bottom,5,0.7201,0.0264,0.731
beercalc_js,bottom,5,0.72,0.0072,0.7212
react-dropdown,middle,5,0.7197,0.0096,0.7229
is-accessor-descriptor,top,5,0.7194,0.0103,0.7175
map-visit,top,5,0.7193,0.0249,0.7091
grunt-api-meta,bottom,5,0.7191,0.0071,0.7158
node-jwks-rsa,middle,5,0.7191,0.0212,0.7058
react-collapse,middle,5,0.7189,0.0146,0.7143
fs-temp,middle,5,0.7187,0.0425,0.7075
gulp-es6-module-jstransform,bottom,5,0.7186,0.0243,0.7316
2048term,bottom,5,0.7183,0.0162,0.7175
download-email-attachments,bottom,5,0.7181,0.0067,0.7179
grunt-npm-helper,bottom,5,0.7179,0.0083,0.7172
grunt-stylus-base-files,bottom,5,0.7177,0.0095,0.722
longest,top,5,0.7172,0.0313,0.7322
git-clone,middle,5,0.7171,0.0222,0.7146
gulp-strip-css-comments,middle,5,0.7169,0.0351,0.7132
import-lazy,top,5,0.7166,0.0174,0.7172
parse-mongo-url,middle,5,0.7158,0.0254,0.7141
bip32-wallet,bottom,5,0.7155,0.0169,0.7108
postcss-parser-tests,middle,5,0.7151,0.0367,0.7012
multireducer,middle,5,0.7147,0.0253,0.7098
grunt-serve,middle,5,0.7146,0.0239,0.7162
node-logify,bottom,5,0.7144,0.0282,0.7246
apimock-middleware,bottom,5,0.7141,0.0385,0.7101
node-MarkerWithLabel,middle,5,0.7136,0.0098,0.7122
react-beautiful-dnd,middle,5,0.7133,0.0148,0.7077
load-grunt-configs,middle,5,0.713,0.0205,0.7134
dom-serialize,top,5,0.7125,0.0222,0.7028
strip-bom,top,5,0.7125,0.0099,0.7097
bootstrap-sass-loader,middle,5,0.7124,0.044,0.6995
node-constant-contact,bottom,5,0.7121,0.0141,0.7192
angular-nl2br,bottom,5,0.7118,0.0159,0.7084
standard-format,middle,5,0.7115,0.0247,0.7124
postcss-font-variant,top,5,0.7114,0.0196,0.702
strict-uri-encode,top,5,0.7111,0.0255,0.7001
browserify-dev-bundler,bottom,5,0.711,0.0108,0.7164
snapdragon,top,5,0.7108,0.0413,0.7012
stream-to-promise,middle,5,0.7107,0.0111,0.7107
lark-views,bottom,5,0.7105,0.0565,0.7336
stackframe,top,5,0.71,0.043,0.696
leven,top,5,0.71,0.0246,0.7039
angular-integer,bottom,5,0.7099,0.0134,0.7137
webidl-conversions,top,5,0.7095,0.0171,0.7061
serve-static,top,5,0.7092,0.012,0.711
postcss-modules-local-by-default,top,5,0.7092,0.0209,0.7066
hapi-cors-headers,middle,5,0.7091,0.01,0.7045
is-travis,middle,5,0.709,0.0265,0.7068
react-sticky,middle,5,0.709,0.0225,0.7196
is-number,top,5,0.7089,0.0205,0.703
es-abstract,top,5,0.7089,0.0229,0.7049
morgan,top,5,0.7088,0.0019,0.7089
hapi-auth-jwt2,middle,5,0.7084,0.0078,0.7108
vuex-i18n,middle,5,0.708,0.0232,0.6972
unit-coverage,middle,5,0.7078,0.0107,0.7086
map-cache,top,5,0.7072,0.0252,0.7201
concat-image,bottom,5,0.7061,0.0116,0.7058
css-declaration-sorter,top,5,0.706,0.0073,0.7052
normalize-newline,middle,5,0.7058,0.0278,0.7048
is-typedarray,top,5,0.7055,0.0167,0.7068
statuses,top,5,0.7048,0.0267,0.7008
cli-cursor,top,5,0.7044,0.0252,0.6932
generator-react-gulp-browserify,bottom,5,0.7044,0.0371,0.6976
babel-plugin-dynamic-import-node,top,5,0.7043,0.0099,0.7069
fuzzy-search,middle,5,0.704,0.0073,0.7044
gzip-size,top,5,0.7036,0.0142,0.701
pug-cli,middle,5,0.7033,0.0361,0.7165
is-localhost,bottom,5,0.7033,0.015,0.6995
markdown-it-mark,middle,5,0.7032,0.0276,0.7082
edx-modulestore-node,bottom,5,0.7031,0.0138,0.7041
algoliasearch-helper-js,middle,5,0.7017,0.011,0.6985
is-absolute,top,5,0.7016,0.041,0.7067
simctl,middle,5,0.7014,0.0206,0.6931
diffie-hellman,top,5,0.7011,0.0344,0.7247
daily-comic.js,bottom,5,0.7006,0.0139,0.6978
ga-localstorage,bottom,5,0.7003,0.0138,0.6975
babelify,top,5,0.7001,0.0376,0.7041
ember-assign-polyfill,middle,5,0.6996,0.0153,0.6934
telegraf,middle,5,0.6993,0.0358,0.6873
html-pipe,bottom,5,0.6992,0.0335,0.7099
buffer-xor,top,5,0.6992,0.0601,0.7161
postcss-css-variables,middle,5,0.699,0.0232,0.7097
node-language-spawn,bottom,5,0.6989,0.0146,0.695
object.pick,top,5,0.6985,0.0144,0.696
bonjour,top,5,0.6984,0.0388,0.702
eslint-plugin,middle,5,0.6984,0.0224,0.6965
tslint-ionic-rules,middle,5,0.6984,0.0263,0.6846
builder-coffee,bottom,5,0.6983,0.0156,0.7039
MetaScript,middle,5,0.6979,0.0206,0.6885
electron-squirrel-startup,middle,5,0.6978,0.0361,0.7047
finalhandler,top,5,0.6975,0.0495,0.7083
sort-by,middle,5,0.6973,0.0243,0.6933
directory-path,bottom,5,0.6971,0.0394,0.6829
denodeify,top,5,0.6967,0.0247,0.688
blum,bottom,5,0.6966,0.0129,0.7014
md5.js,top,5,0.6965,0.0141,0.6947
object-hash,top,5,0.6964,0.0083,0.6945
knockout-else,bottom,5,0.6963,0.0188,0.7006
grunt-metascript,bottom,5,0.6958,0.0179,0.6915
gulp-imacss,bottom,5,0.6957,0.0201,0.6913
latex-watcher,bottom,5,0.6955,0.0125,0.6915
breeze.js.bower,bottom,5,0.6955,0.0034,0.6954
node-language-exec,bottom,5,0.6952,0.0271,0.7006
grunt-gulp,middle,5,0.6949,0.0567,0.7084
lintspaces-cli,middle,5,0.6948,0.0142,0.7012
flush-write-stream,top,5,0.694,0.0139,0.6977
split-string,top,5,0.6937,0.0085,0.6913
require-in-the-middle,middle,5,0.6936,0.0266,0.6865
gulp-jsdoc,middle,5,0.6928,0.0195,0.6914
RegExp.prototype.flags,top,5,0.6927,0.0129,0.6944
mongoose-deep-populate,middle,5,0.6927,0.0206,0.6991
chemical-symbols,bottom,5,0.6924,0.0562,0.6955
github-todos,bottom,5,0.6921,0.0063,0.6945
googlefonts,bottom,5,0.6915,0.0102,0.6891
builtin-modules,top,5,0.6907,0.0202,0.6921
lcid,top,5,0.6905,0.0161,0.6935
koa-barista,bottom,5,0.6903,0.0268,0.6856
npmi,middle,5,0.69,0.0285,0.6828
is-primitive,top,5,0.6893,0.0208,0.6752
express-react-views,middle,5,0.6893,0.0075,0.6857
underscore-template-loader,middle,5,0.6892,0.0042,0.6914
caller-path,top,5,0.6875,0.0402,0.6916
spdy-transport,top,5,0.6875,0.0392,0.6731
parse-torrent,middle,5,0.6873,0.0094,0.6851
randomatic,top,5,0.6868,0.0302,0.6871
is-equal-shallow,top,5,0.6867,0.0336,0.6761
hershey,bottom,5,0.6864,0.0227,0.6778
meanio,middle,5,0.6859,0.0122,0.6898
