Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
konva,middle,5,0.9219,0.0098,0.9256
couchdb-fauxton,bottom,5,0.9013,0.0063,0.9016
toml-require,middle,5,0.8946,0.0227,0.8983
tweetnacl-js,top,5,0.8899,0.0359,0.9017
node-get-all-js-files,bottom,5,0.8885,0.0117,0.887
gedcomx-date-js,bottom,5,0.8847,0.0089,0.8821
dailymotion-sdk-node,bottom,5,0.8799,0.0146,0.8861
nativescript-dev-webpack,middle,5,0.878,0.0103,0.8763
protractor-jasmine2-screenshot-reporter,middle,5,0.8778,0.017,0.872
eslint-config-standard,top,5,0.8745,0.0093,0.875
ESB-node-driver,bottom,5,0.872,0.0081,0.8712
enb-browserify,bottom,5,0.8691,0.0118,0.868
spotify-web-api-node,middle,5,0.8688,0.0152,0.8656
detect-node,top,5,0.8676,0.0044,0.868
postcss-selector-parser,top,5,0.8639,0.0089,0.8616
ast-types-flow,top,5,0.8608,0.0086,0.8565
eslint-loader,top,5,0.8584,0.0219,0.8717
gulp-remote-src,middle,5,0.8584,0.0129,0.8576
lru-memoize,middle,5,0.8575,0.0194,0.8603
dropbox-sdk-js,middle,5,0.8574,0.0117,0.8525
gulp-html5-lint,middle,5,0.8562,0.0156,0.8601
FileBufferReader,bottom,5,0.8561,0.0126,0.8605
karma-gzip-preprocessor,bottom,5,0.8546,0.0133,0.8529
node-google-alerts,bottom,5,0.8542,0.0102,0.8566
js-multihash,middle,5,0.8538,0.0089,0.8549
gulp-sourcemaps,top,5,0.8531,0.0182,0.8452
webpack-merge,top,5,0.8525,0.0188,0.8466
grunt-sass-lint,middle,5,0.8521,0.0097,0.8481
google-fonts-downloader,bottom,5,0.8518,0.0076,0.8489
browserify-aes,top,5,0.8498,0.0147,0.8427
engine.io-parser,top,5,0.848,0.0112,0.8456
vue-hot-reload-api,top,5,0.8467,0.012,0.8463
array-flatten,top,5,0.846,0.0275,0.8528
benderjs-amd,bottom,5,0.8459,0.0069,0.8425
commonmark-react-renderer,middle,5,0.845,0.0099,0.8473
jstransformer-markdown-it,middle,5,0.8448,0.0101,0.8434
prettier,top,5,0.8447,0.0122,0.8444
react-native-side-menu,middle,5,0.844,0.0074,0.846
react-native-navbar,middle,5,0.8432,0.006,0.8409
ember-test-helpers,middle,5,0.8432,0.0061,0.8453
minimalistic-crypto-utils,top,5,0.8426,0.0101,0.8409
webpack-manifest-plugin,top,5,0.8423,0.0151,0.8411
extract-zip,top,5,0.8421,0.0166,0.8354
eslint-plugin-node,top,5,0.8414,0.0052,0.8407
compression,top,5,0.8412,0.0374,0.8552
gitbook-plugin-piwik,bottom,5,0.8411,0.0046,0.842
read-yaml,middle,5,0.841,0.0151,0.8413
strip-comments,top,5,0.8403,0.0217,0.8413
hapi-route-directory,bottom,5,0.8371,0.0217,0.8289
node-elm-compiler,middle,5,0.837,0.0101,0.8342
react-sidebar,middle,5,0.837,0.0137,0.8311
optimize-css-assets-webpack-plugin,top,5,0.8354,0.0111,0.8362
