Lib_Name,Source,human_fog_index,ai_fog_index,fog_diff
body-parser,top,11.6,13.381166759027542,1.781166759027542
inflight,top,8.0,15.827638192128822,7.827638192128822
mime-types,top,34.0,17.205643319161343,-16.794356680838657
mime-db,top,27.86666666666667,17.011891891891892,-10.854774774774778
ansi-regex,top,14.228571428571428,13.690151802656548,-0.5384196259148801
color-name,top,2.4000000000000004,19.26620689655173,16.86620689655173
qs,top,8.200000000000001,13.382530963583596,5.182530963583595
safe-buffer,top,1.6,19.394452733276264,17.794452733276263
node-bcrypt-pbkdf,top,12.488888888888887,15.418227086821886,2.9293381979329993
cliui,top,26.0,19.942417582417583,-6.057582417582417
array-flatten,top,15.733333333333334,15.012811231994196,-0.7205221013391387
babel-loader,top,1.6,18.84293535771797,17.24293535771797
aproba,top,22.4,17.79559916245478,-4.604400837545217
string-width,top,11.333333333333336,19.40147335423197,8.068140020898635
execa,top,11.6,13.743472319494732,2.143472319494732
normalize-path,top,5.7,20.282947935528583,14.582947935528583
browserslist,top,11.466666666666669,14.29934065934066,2.832673992673991
ansi-escapes,top,14.228571428571428,19.590817267571836,5.362245839000408
wrap-ansi,top,2.8000000000000003,14.182727834937436,11.382727834937436
node-sshpk,top,8.0,16.924574684574687,8.924574684574687
npm-run-path,top,13.2,14.542694182862489,1.3426941828624894
node-cross-spawn,top,8.044444444444444,17.98275862068966,9.938314176245214
read-pkg-up,top,10.0,11.709651024291398,1.7096510242913983
bn.js,top,11.6,18.04423997055576,6.444239970555762
define-properties,top,16.933333333333334,21.20333780041097,4.270004467077637
escape-string-regexp,top,11.6,19.92873563218391,8.328735632183909
is-buffer,top,8.514285714285714,11.24928555330178,2.7349998390160657
globby,top,14.533333333333337,13.5114381270903,-1.0218952062430375
camelcase,top,12.488888888888887,12.73968253968254,0.25079365079365346
tweetnacl-js,top,19.942857142857143,24.02727493256977,4.084417789712628
for-own,top,14.28888888888889,20.89333333333333,6.604444444444441
invariant,top,40.400000000000006,16.820468745346794,-23.57953125465321
compression,top,27.86666666666667,16.87568612124524,-10.99098054542143
source-map-resolve,top,11.672727272727274,16.51013716078256,4.837409888055285
es-abstract,top,11.6,17.952537136066546,6.352537136066546
braces,top,9.885714285714286,17.11793849327624,7.232224207561956
has-ansi,top,3.2,13.712084049760817,10.512084049760816
assign-symbols,top,13.345454545454544,18.3067365267699,4.961281981315356
caniuse-lite,top,8.044444444444444,20.540536398467435,12.49609195402299
es-to-primitive,top,11.6,18.00906204906205,6.409062049062049
glob-parent,top,8.044444444444444,14.685567765567765,6.64112332112332
to-fast-properties,top,8.044444444444444,24.518668267837175,16.47422382339273
isobject,top,4.4,11.601693896161985,7.201693896161984
extend-shallow,top,11.672727272727274,15.050706914762802,3.3779796420355286
array-uniq,top,10.0,19.68888888888889,9.68888888888889
wrappy,top,14.533333333333337,17.798765760667287,3.26543242733395
arr-diff,top,11.505882352941178,13.640315078769692,2.134432725828514
elliptic,top,19.942857142857143,24.31441840336577,4.371561260508628
code-point-at,top,14.533333333333337,12.01575198994554,-2.5175813433877963
array-unique,top,10.0,20.629841269841272,10.629841269841272
process-nextick-args,top,10.0,20.621388047390248,10.621388047390248
find-cache-dir,top,9.066666666666668,14.686369353916524,5.619702687249855
arrify,top,2.4000000000000004,13.404221451063558,11.004221451063557
mem,top,16.019047619047623,18.954797588285963,2.9357499692383406
parse-json,top,2.4000000000000004,14.07566308243728,11.67566308243728
del,top,11.6,13.9578835978836,2.3578835978835997
arr-flatten,top,8.514285714285714,14.279995709995712,5.765709995709997
decamelize,top,17.02857142857143,13.898452012383904,-3.130119416187524
pify,top,11.6,17.206329966329967,5.606329966329968
find-up,top,12.0,15.237745442962837,3.2377454429628365
nodejs-depd,top,11.6,16.98543810506659,5.385438105066589
object.pick,top,14.0,16.944929544929543,2.9449295449295434
builtin-modules,top,2.6,17.38072594072594,14.780725940725942
array-union,top,4.800000000000001,17.688815520938284,12.888815520938284
has-flag,top,8.514285714285714,12.584370637053564,4.070084922767849
des.js,top,20.8,18.6269696969697,-2.173030303030302
binary-extensions,top,18.0,24.58963427377221,6.589634273772209
yargs-parser,top,3.2,16.90928774928775,13.70928774928775
http-errors,top,1.2000000000000002,17.15966874027132,15.959668740271322
is-fullwidth-code-point,top,11.353846153846156,19.37945442025531,8.025608266409154
for-in,top,14.430769230769233,16.008027070132336,1.577257839363103
finalhandler,top,11.6,12.742324628776242,1.142324628776242
align-text,top,2.4000000000000004,20.553162393162395,18.153162393162397
pbkdf2,top,13.2,19.42518081624629,6.22518081624629
fill-range,top,18.126315789473683,14.85266106442577,-3.273654725047912
node-har-validator,top,12.488888888888887,14.981744861744865,2.4928559728559776
util-deprecate,top,8.514285714285714,16.790954927425517,8.276669213139803
etag,top,1.6,20.01818181818182,18.418181818181818
watchpack,top,8.514285714285714,16.794041514041517,8.279755799755803
lcid,top,12.0,15.388002636783124,3.388002636783124
isexe,top,12.488888888888887,12.78852633767245,0.299637448783562
cosmiconfig,top,11.371428571428572,18.690131210378887,7.318702638950315
caller-path,top,2.8000000000000003,14.91930735930736,12.11930735930736
camelcase-keys,top,2.4000000000000004,12.131696451696452,9.731696451696452
pako,top,8.0,17.67615984405458,9.676159844054581
yallist,top,1.6,19.842778091473743,18.242778091473742
is-glob,top,9.93793103448276,14.800423280423283,4.862492245940523
http-proxy-middleware,top,8.266666666666667,13.400372707222424,5.133706040555756
ci-info,top,18.2,20.272873792873792,2.072873792873793
loader-runner,top,1.2000000000000002,14.605386192754615,13.405386192754616
browserify-aes,top,14.533333333333337,17.052785810680547,2.51945247734721
serve-static,top,1.2000000000000002,12.145453325666091,10.94545332566609
invert-kv,top,9.472727272727274,14.647404250728234,5.17467697800096
repeat-string,top,8.044444444444444,15.881977337732858,7.837532893288413
micromatch,top,11.377777777777778,14.353991133991135,2.976213356213357
setprototypeof,top,14.533333333333337,19.732551892551893,5.199218559218556
expand-range,top,9.325490196078432,15.175014926593876,5.849524730515444
browserify-des,top,14.533333333333337,18.895583893230956,4.362250559897619
browserify-sign,top,15.733333333333334,20.391727433774157,4.658394100440823
figures,top,8.514285714285714,18.63726152374646,10.122975809460746
webpack-sources,top,2.4000000000000004,13.921212121212124,11.521212121212123
buffer-xor,top,8.514285714285714,19.249769817664557,10.735484103378843
shebang-command,top,2.4000000000000004,16.38388125097803,13.983881250978028
spdx-license-ids,top,9.066666666666668,18.35350753468401,9.286840868017341
filename-regex,top,16.0,13.6572192513369,-2.3427807486631007
is-stream,top,2.8000000000000003,14.527220081505794,11.727220081505793
load-json-file,top,2.4000000000000004,15.16297784154312,12.762977841543119
cipher-base,top,2.0,20.52020434227331,18.52020434227331
eslint-plugin-import,top,8.044444444444444,13.27289094948324,5.2284465050387965
write-file-atomic,top,18.2,20.50189486189486,2.301894861894862
createHash,top,5.6000000000000005,19.51902834008097,13.919028340080967
createHmac,top,8.276923076923078,13.474688210340386,5.197765133417308
parseurl,top,10.0,15.390705755923149,5.390705755923149
normalize-url,top,14.533333333333337,22.034453781512603,7.501120448179266
statuses,top,14.533333333333337,18.533247111644325,3.9999137783109884
createECDH,top,21.6,19.14178447450982,-2.458215525490182
repeat-element,top,8.0,18.5235881871176,10.5235881871176
is-path-inside,top,3.2,14.31678483678484,11.116784836784841
meow,top,1.2000000000000002,17.70077922077922,16.500779220779222
media-typer,top,13.2,18.532890899949724,5.332890899949724
content-type,top,9.066666666666668,18.01713215743549,8.950465490768822
strip-bom,top,3.6,13.638919779407583,10.038919779407584
is-binary-path,top,8.044444444444444,14.963481196762274,6.9190367523178296
stream-shift,top,12.488888888888887,17.150415850024956,4.661526961136069
path-exists,top,2.0,13.712790493843126,11.712790493843126
os-homedir,top,21.6,13.143434343434343,-8.456565656565658
forwarded,top,11.6,17.973507272454643,6.373507272454644
is-builtin-module,top,2.4000000000000004,10.76155388471178,8.36155388471178
read-pkg,top,11.6,13.665919928025192,2.065919928025192
diffie-hellman,top,1.2000000000000002,19.18181432836311,17.98181432836311
expand-brackets,top,12.488888888888887,14.911659012204208,2.4227701233153205
duplexify,top,13.915789473684212,15.960529620529622,2.0447401468454096
path-is-absolute,top,11.6,13.989701702668867,2.3897017026688676
is-dotfile,top,5.2,14.95579576475341,9.755795764753408
extglob,top,17.50769230769231,16.262959479544847,-1.2447328281474626
eslint-plugin-react,top,10.0,18.405521885521885,8.405521885521885
array-find-index,top,14.533333333333337,17.622672064777326,3.0893387314439895
encodeurl,top,20.0,18.656095123102908,-1.343904876897092
fs-write-stream-atomic,top,11.6,21.798719119266785,10.198719119266785
kind-of,top,10.7,13.02936877076412,2.3293687707641215
interpret,top,16.933333333333334,23.5856330749354,6.652299741602068
os-locale,top,1.6,10.720065359477124,9.120065359477124
shebang-regex,top,14.228571428571428,18.38074074074074,4.152169312169313
content-disposition,top,9.066666666666668,18.43810768751945,9.371441020852783
object-assign,top,14.533333333333337,16.70151503419796,2.168181700864624
abab,top,22.4,15.27808936187834,-7.121910638121658
cli-cursor,top,1.6,17.664034944034945,16.064034944034944
center-align,top,9.066666666666668,17.518511509885066,8.451844843218398
postcss-calc,top,2.0,18.40039253311788,16.40039253311788
postcss-modules-scope,top,4.4,19.00159889054216,14.601598890542158
is-extendable,top,7.251282051282051,16.361339712918664,9.110057661636613
axios,top,3.6,14.073677375256324,10.473677375256324
hash-base,top,2.0,15.88867132867133,13.88867132867133
get-stream,top,8.0,15.308442954894568,7.308442954894568
is-number,top,9.8,10.452452895136547,0.6524528951365465
is-path-cwd,top,8.044444444444444,12.624527629233512,4.580083184789068
is-path-in-cwd,top,8.0,14.568888888888887,6.568888888888887
resolve-from,top,5.676923076923078,14.787372522573154,9.110449445650076
y18n,top,3.2,18.56615384615385,15.36615384615385
preserve,top,16.211764705882356,18.467912789636927,2.256148083754571
path-type,top,8.0,13.51726842734266,5.51726842734266
proxy-addr,top,10.0,17.97346485522956,7.973464855229562
randomatic,top,18.45714285714286,21.046658797298186,2.5895159401553265
prop-types,top,8.044444444444444,16.02802197802198,7.9835775335775345
serialize-javascript,top,20.584615384615383,17.763449883449887,-2.8211655011654955
number-is-nan,top,14.533333333333337,11.710365272208591,-2.8229680611247456
